SRC:   212 2021-10-17 08:18:27.435 UWB CNT: 13, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101381 TMP: 7.3 TS: 542735916789 RSSI: -92 FPPL: -99 CSQ: 100
SRC:   226 2021-10-17 08:18:27.440 UWB CNT: 13, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101381 TMP: 7.3 TS: 542735919266 RSSI: -93 FPPL: -96 CSQ: 100
SRC:   213 2021-10-17 08:18:27.452 UWB CNT: 13, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101381 TMP: 7.3 TS: 542735918812 RSSI: -92 FPPL: -97 CSQ: 100
SRC:   225 2021-10-17 08:18:32.576 UWB CNT: 14, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101385 TMP: 7.3 TS: 874289080591 RSSI: -93 FPPL: -97 CSQ: 100
SRC:   212 2021-10-17 08:18:32.623 UWB CNT: 14, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101385 TMP: 7.3 TS: 874289081264 RSSI: -94 FPPL: -103 CSQ: 100
SRC:   226 2021-10-17 08:18:32.630 UWB CNT: 14, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101385 TMP: 7.3 TS: 874289083764 RSSI: -93 FPPL: -94 CSQ: 100
SRC:   213 2021-10-17 08:18:32.643 UWB CNT: 14, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101385 TMP: 7.3 TS: 874289083331 RSSI: -93 FPPL: -100 CSQ: 100
SRC:   225 2021-10-17 08:18:37.629 UWB CNT: 15, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101387 TMP: 7.4 TS: 97613226327 RSSI: -95 FPPL: -98 CSQ: 100
SRC:   218 2021-10-17 08:18:37.629 UWB CNT: 15, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101387 TMP: 7.4 TS: 97613227194 RSSI: -99 FPPL: -112 CSQ: 0
SRC:   212 2021-10-17 08:18:37.676 UWB CNT: 15, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101387 TMP: 7.4 TS: 97613227013 RSSI: -95 FPPL: -109 CSQ: 100
SRC:   226 2021-10-17 08:18:37.683 UWB CNT: 15, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101387 TMP: 7.4 TS: 97613229476 RSSI: -92 FPPL: -95 CSQ: 100
SRC:   213 2021-10-17 08:18:37.694 UWB CNT: 15, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101387 TMP: 7.4 TS: 97613229085 RSSI: -95 FPPL: -101 CSQ: 100
SRC:   218 2021-10-17 08:18:42.848 UWB CNT:  0, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101387 TMP: 7.4 TS: 431104413481 RSSI: -99 FPPL: -105 CSQ: 0
SRC:   225 2021-10-17 08:18:42.849 UWB CNT:  0, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101387 TMP: 7.4 TS: 431104412989 RSSI: -89 FPPL: -93 CSQ: 100
SRC:   205 2021-10-17 08:18:42.874 UWB CNT:  0, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101387 TMP: 7.4 TS: 431104417974 RSSI: -97 FPPL: -104 CSQ: 100
SRC:   226 2021-10-17 08:18:42.902 UWB CNT:  0, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101387 TMP: 7.4 TS: 431104415732 RSSI: -96 FPPL: -100 CSQ: 100
SRC:   213 2021-10-17 08:18:42.914 UWB CNT:  0, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101387 TMP: 7.4 TS: 431104415786 RSSI: -95 FPPL: -100 CSQ: 100
SRC:   224 2021-10-17 08:18:48.116 UWB CNT:  1, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101388 TMP: 7.4 TS: 766353933302 RSSI: -91 FPPL: -96 CSQ: 100
SRC:   213 2021-10-17 08:18:48.153 UWB CNT:  1, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101388 TMP: 7.4 TS: 766353933704 RSSI: -92 FPPL: -97 CSQ: 100
SRC:   215 2021-10-17 08:18:48.190 UWB CNT:  1, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101388 TMP: 7.4 TS: 766353932971 RSSI: -98 FPPL: -102 CSQ: 100
